transaction_id,client_id,country,amount,transaction_type,risk_score,transaction_date
T00168,C626,China,4939.83,Online,25,2025-12-23 06:15:00
T00169,C770,France,1745.95,Card,40,2025-03-13 18:30:00
T00170,C650,Turkey,4624.33,POS,79,2025-11-05 17:15:00
T00171,C380,China,6275.98,Online,37,2025-09-04 14:30:00
T00172,C898,UK,8057.18,POS,74,2025-12-16 20:34:00
T00173,C235,China,5611.18,POS,73,2025-02-19 17:49:00
T00174,C674,Spain,8787.17,ATM,35,2025-06-05 17:12:00
T00175,C472,France,1071.95,Transfer,40,2025-04-18 21:00:00
T00176,C469,France,6383.73,POS,16,2025-06-25 08:09:00
T00177,C915,UK,5562.31,POS,53,2025-01-01 15:47:00
T00178,C451,Turkey,6853.9,Card,40,2025-02-19 17:21:00
T00179,C202,China,6398.8,ATM,41,2025-10-23 21:54:00
T00180,C438,Germany,855.45,POS,19,2025-07-06 08:04:00
T00181,C617,Germany,7803.11,POS,53,2025-12-12 03:48:00
T00182,C206,Germany,2382.55,ATM,73,2025-12-06 03:38:00
T00183,C529,France,4663.44,Online,6,2025-06-24 07:48:00
T00184,C132,UAE,5336.98,POS,67,2025-02-11 12:37:00
T00185,C808,Germany,2440.76,ATM,70,2025-01-25 04:26:00
T00186,C201,Germany,4681.94,ATM,55,2025-01-06 19:46:00
T00187,C463,UK,8925.73,Online,11,2025-05-13 20:11:00
T00188,C425,Canada,4331.24,POS,48,2025-04-09 19:57:00
T00189,C334,USA,2807.65,Transfer,39,2025-08-19 09:58:00
T00190,C236,Spain,293.42,Online,32,2025-11-17 20:12:00
T00191,C213,Turkey,3806.84,ATM,43,2025-08-29 00:49:00
T00192,C446,Spain,8824.44,Card,16,2025-06-21 11:25:00
T00193,C182,Canada,2840.57,Online,64,2025-01-13 05:33:00
T00194,C490,Turkey,6849.76,ATM,7,2025-02-25 05:08:00
T00195,C309,Spain,235.75,Transfer,26,2025-03-05 09:03:00
T00196,C299,Germany,4706.48,Transfer,26,2025-02-13 05:58:00
T00197,C553,France,6245.26,ATM,36,2025-03-01 12:12:00
T00198,C846,UAE,8946.17,POS,14,2025-08-16 02:51:00
T00199,C881,Germany,916.43,Online,28,2025-10-14 00:41:00
T00200,C553,Turkey,9158.92,Online,22,2025-04-25 11:22:00
T00201,C672,UAE,4250.78,Online,7,2025-01-10 03:43:00
T00202,C645,China,9161.33,ATM,66,2025-05-06 10:19:00
T00203,C502,Morocco,41732.05,Card,94,2025-11-05 18:13:00
T00204,C397,China,30434.18,POS,88,2025-07-22 22:00:00
T00205,C508,Germany,2564.98,Transfer,8,2025-07-28 04:58:00
T00206,C135,Germany,5223.14,Online,18,2025-07-28 15:49:00
T00207,C845,Morocco,8114.75,Online,41,2025-10-01 02:54:00
T00208,C628,UAE,1849.41,Card,39,2025-08-20 07:36:00
T00209,C128,UK,7353.85,Transfer,9,2025-04-16 06:45:00
T00210,C962,Turkey,3709.83,POS,76,2025-02-15 18:07:00
T00211,C323,UAE,4069.45,POS,40,2025-10-07 23:06:00
T00212,C245,USA,697.43,POS,7,2025-10-04 13:55:00
T00213,C459,China,30906.17,Card,98,2025-10-12 05:48:00
T00214,C609,Turkey,2977.89,ATM,16,2025-11-18 19:03:00
T00215,C401,China,2884.78,POS,40,2025-01-11 01:01:00
T00216,C756,France,2216.96,POS,41,2025-12-17 01:02:00
T00217,C336,UAE,6937.46,Card,75,2025-03-19 22:24:00
T00218,C858,France,9028.66,Online,57,2025-04-04 21:39:00
T00219,C800,UK,9600.75,Card,56,2025-12-09 00:51:00
T00220,C674,Turkey,1162.98,Card,9,2025-05-26 17:28:00
T00221,C371,Turkey,44572.98,Online,86,2025-04-04 07:17:00
T00222,C718,UAE,4336.03,Card,26,2025-05-09 22:52:00
T00223,C101,Canada,4017.33,Transfer,32,2025-05-01 17:44:00
T00224,C117,Morocco,5048.58,Transfer,8,2025-04-05 23:08:00
T00225,C209,Turkey,1379.92,Online,63,2025-06-22 16:07:00
T00226,C761,Morocco,6185.12,Card,17,2025-01-25 15:16:00
T00227,C267,France,1911.77,Transfer,46,2025-02-21 23:08:00
T00228,C658,UK,9782.89,Transfer,21,2025-10-11 23:50:00
T00229,C830,Canada,6423.56,Card,11,2025-09-23 22:37:00
T00230,C485,USA,5390.94,Transfer,39,2025-09-23 05:13:00
T00231,C162,Germany,8543.57,POS,34,2025-02-25 17:41:00
T00232,C204,China,2149.7,POS,57,2025-05-17 21:29:00
T00233,C208,Canada,6781.25,POS,51,2025-08-24 07:24:00
T00234,C404,Canada,3106.92,Card,26,2025-07-29 12:50:00
T00235,C457,UK,35502.82,Card,95,2025-04-16 00:09:00
T00236,C439,UK,5753.55,ATM,24,2025-05-28 07:45:00
T00237,C559,Morocco,1392.08,Card,70,2025-02-11 01:13:00
T00238,C483,China,8769.37,Transfer,43,2025-01-24 12:26:00
T00239,C757,Germany,8831.83,POS,55,2025-04-02 15:23:00
T00240,C282,Canada,7125.1,ATM,5,2025-11-29 04:17:00
T00241,C811,Morocco,8933.56,Online,17,2025-06-04 13:00:00
T00242,C422,France,2102.72,Card,23,2025-02-18 20:02:00
T00243,C771,UAE,7137.15,Online,77,2025-11-23 21:05:00
T00244,C711,UK,6487.66,Card,19,2025-03-26 20:09:00
T00245,C364,UAE,5790.56,Transfer,6,2025-03-20 04:48:00
T00246,C832,China,6738.33,Online,29,2025-05-22 19:07:00
T00247,C345,Turkey,9085.32,Transfer,39,2025-03-16 19:30:00
T00248,C289,Turkey,22303.45,POS,84,2025-05-23 03:32:00
T00249,C516,China,8985.65,Transfer,30,2025-08-11 17:37:00
T00250,C558,USA,708.59,Card,78,2025-05-26 07:14:00
T00251,C850,Morocco,8779.8,Card,28,2025-08-11 22:26:00
T00252,C778,France,2701.81,Card,58,2025-12-01 01:31:00
T00253,C971,USA,4527.41,Online,73,2025-11-12 06:46:00
T00254,C183,Spain,2532.64,Online,41,2025-05-30 10:03:00
T00255,C805,Canada,940.17,POS,68,2025-10-25 14:26:00
T00256,C581,Spain,5278.24,Online,22,2025-01-31 17:34:00
T00257,C437,Spain,7598.11,Online,24,2025-02-02 02:17:00
T00258,C175,UK,8613.37,POS,8,2025-04-25 23:52:00
T00259,C950,Germany,4391.02,POS,61,2025-11-03 04:29:00
T00260,C661,China,5949.23,ATM,51,2025-07-02 14:20:00
T00261,C125,UAE,5214.11,Online,44,2025-03-07 23:01:00
T00262,C458,Germany,9889.76,Online,62,2025-10-25 05:40:00
T00263,C368,Germany,9962.98,POS,77,2025-12-01 09:08:00
T00264,C738,France,3586.26,Card,74,2025-10-23 04:15:00
T00265,C747,USA,9383.67,ATM,18,2025-01-29 01:16:00
T00266,C779,Spain,9326.32,Card,32,2025-02-03 18:11:00
T00267,C991,Germany,1576.65,Transfer,61,2025-03-28 17:32:00
T00268,C368,Spain,4433.82,POS,53,2025-09-21 01:50:00
T00269,C468,Turkey,8458.75,POS,62,2025-11-27 07:20:00
T00270,C819,Morocco,3713.84,ATM,10,2025-03-02 14:30:00
T00271,C500,France,5379.58,ATM,71,2025-08-29 15:25:00
T00272,C116,UAE,9169.33,Card,53,2025-11-11 13:23:00
T00273,C399,UAE,4016.26,ATM,44,2025-07-01 22:12:00
T00274,C414,UK,9639.04,ATM,75,2025-03-21 06:04:00
T00275,C127,Morocco,4901.61,Transfer,18,2025-09-17 05:19:00
T00276,C997,UK,2092.29,Card,64,2025-10-28 22:36:00
T00277,C973,UAE,15208.14,ATM,99,2025-09-05 08:40:00
T00278,C377,Canada,7615.81,POS,38,2025-07-14 18:53:00
T00279,C938,USA,4009.53,POS,58,2025-04-25 05:13:00
T00280,C592,Spain,19251.68,Online,98,2025-02-14 03:35:00
T00281,C373,France,3826.19,POS,11,2025-03-16 14:00:00
T00282,C558,Canada,1963.72,Card,66,2025-12-07 01:49:00
T00283,C955,France,886.79,POS,11,2025-06-26 12:32:00
T00284,C770,USA,5709.53,Transfer,72,2025-08-31 14:32:00
T00285,C581,Spain,4154.26,ATM,28,2025-07-24 03:58:00
T00286,C692,UK,7988.24,Transfer,26,2025-06-30 20:00:00
T00287,C347,Morocco,1504.47,ATM,76,2025-07-11 13:05:00
T00288,C406,Germany,4027.72,Online,6,2025-07-09 15:44:00
T00289,C177,Canada,12569.06,POS,83,2025-06-29 02:30:00
T00290,C305,Morocco,4465.97,ATM,28,2025-03-07 02:20:00
T00291,C690,Canada,8564.78,Transfer,30,2025-07-12 05:06:00
T00292,C531,Spain,2896.13,Transfer,50,2025-08-27 18:02:00
T00293,C777,UAE,3146.45,Online,6,2025-05-07 00:54:00
T00294,C498,USA,9134.48,Online,74,2025-02-22 10:28:00
T00295,C327,Morocco,3123.03,Online,41,2025-02-18 16:02:00
T00296,C691,Canada,2586.79,ATM,24,2025-05-04 23:41:00
T00297,C911,Germany,3861.11,Card,53,2025-07-16 17:15:00
T00298,C966,Canada,8503.52,POS,41,2025-06-01 09:17:00
T00299,C705,China,383.15,Card,9,2025-06-15 07:03:00
T00300,C166,UAE,7813.33,ATM,23,2025-07-20 10:54:00
T00301,C914,UAE,1932.5,Transfer,74,2025-11-27 08:04:00
T00302,C128,Morocco,9847.78,Transfer,8,2025-01-24 21:00:00
T00303,C943,China,2697.59,Transfer,71,2025-11-25 10:47:00
T00304,C285,USA,10382.56,ATM,81,2025-08-23 13:15:00
T00305,C434,UAE,2036.54,POS,49,2025-04-30 10:40:00
T00306,C170,China,1253.27,ATM,38,2025-04-19 06:51:00
T00307,C841,UAE,3816.69,Transfer,45,2025-02-19 14:06:00
T00308,C312,USA,6415.86,Transfer,17,2025-12-29 11:36:00
T00309,C273,France,44303.82,POS,97,2025-07-06 02:48:00
T00310,C766,Germany,9272.65,Transfer,71,2025-01-07 12:18:00
T00311,C335,Germany,4191.74,ATM,50,2025-01-10 06:40:00
T00312,C724,China,8129.29,Card,75,2025-04-08 17:57:00
T00313,C523,Germany,7206.09,Card,51,2025-04-13 13:41:00
T00314,C104,Spain,3550.92,POS,78,2025-03-05 23:40:00
T00315,C232,Spain,7629.78,Card,37,2025-03-18 23:17:00
T00316,C286,UK,41333.78,Transfer,81,2025-01-03 14:17:00
T00317,C329,UK,24002.55,ATM,96,2025-10-16 06:08:00
T00318,C970,Germany,4434.01,POS,55,2025-11-25 17:47:00
T00319,C120,Spain,9289.77,POS,18,2025-11-03 00:14:00
T00320,C390,Morocco,866.48,POS,31,2025-02-27 08:39:00
T00321,C324,USA,6682.03,POS,77,2025-10-13 16:25:00
T00322,C511,Spain,719.07,Online,34,2025-06-01 13:37:00
T00323,C206,Spain,8275.91,Transfer,11,2025-11-08 17:40:00
T00324,C531,Canada,4081.24,Transfer,13,2025-12-24 01:50:00
T00325,C750,France,5228.76,Online,9,2025-11-08 22:46:00
T00326,C245,UK,9166.76,Transfer,66,2025-03-18 17:01:00
T00327,C211,Spain,1065.27,ATM,24,2025-06-05 04:38:00
T00328,C519,France,1270.34,Card,30,2025-12-24 11:47:00
T00329,C275,Canada,9452.69,Transfer,72,2025-11-24 13:38:00
T00330,C451,Spain,106.48,Online,69,2025-02-11 18:40:00
T00331,C169,USA,5246.37,Card,62,2025-02-12 16:43:00
T00332,C553,Morocco,9546.62,Online,29,2025-03-24 03:40:00
T00333,C872,Turkey,7017.28,Online,77,2025-08-27 23:48:00
T00334,C994,Spain,5349.84,Card,18,2025-07-24 21:58:00
T00335,C795,Morocco,5072.29,Transfer,49,2025-11-03 19:32:00
T00336,C505,Turkey,9048.03,Card,75,2025-09-03 05:53:00
T00337,C799,Turkey,5285.42,Online,28,2025-04-07 04:50:00
T00338,C596,Germany,7240.23,Online,12,2025-07-09 20:46:00
T00339,C454,France,5215.73,Online,42,2025-07-04 09:08:00
T00340,C543,France,5589.33,POS,26,2025-09-11 00:27:00
T00341,C360,Canada,4952.22,POS,60,2025-04-06 01:17:00
T00342,C943,Spain,5800.44,Card,74,2025-11-06 22:20:00
T00343,C343,UK,9428.73,Online,20,2025-10-30 02:38:00
T00344,C587,UK,2252.72,Transfer,28,2025-10-10 02:03:00
T00345,C251,Morocco,8076.13,Transfer,21,2025-03-05 08:56:00
T00346,C287,Canada,323.53,ATM,71,2025-12-24 18:59:00
T00347,C127,France,4278.53,ATM,73,2025-01-18 01:23:00
T00348,C620,China,9612.0,Online,64,2025-12-24 10:31:00
T00349,C407,Spain,5216.67,ATM,8,2025-08-23 17:48:00
T00350,C381,USA,5494.1,Card,65,2025-02-18 16:10:00
T00351,C370,UAE,3591.29,Transfer,69,2025-01-11 14:40:00
T00352,C315,Spain,9395.95,Transfer,36,2025-02-17 02:31:00
T00353,C364,UK,6875.62,Online,51,2025-12-26 00:31:00
T00354,C493,USA,8526.85,Transfer,53,2025-01-22 22:56:00
T00355,C394,Germany,398.92,Card,23,2025-11-04 20:13:00
T00356,C135,Spain,8597.61,Card,66,2025-11-29 13:40:00
T00357,C516,UK,8481.08,ATM,28,2025-06-29 14:15:00
T00358,C885,USA,4627.15,Card,5,2025-11-27 11:14:00
T00359,C706,Spain,837.02,POS,79,2025-10-23 19:03:00
T00360,C982,France,7079.25,POS,38,2025-08-13 14:42:00
T00361,C200,Canada,1472.02,ATM,10,2025-02-18 13:01:00
T00362,C111,Germany,3681.32,ATM,32,2025-05-05 12:32:00
T00363,C660,Spain,7267.64,Transfer,49,2025-04-05 04:06:00
T00364,C657,China,1230.6,ATM,56,2025-11-04 18:20:00
T00365,C206,UAE,5648.42,Card,18,2025-08-20 21:26:00
T00366,C654,UAE,2171.81,Online,66,2025-04-23 06:23:00
T00367,C429,China,8939.55,Card,70,2025-03-07 22:23:00
T00368,C349,Turkey,7050.58,ATM,13,2025-08-29 00:36:00
T00369,C164,UAE,220.67,POS,74,2025-08-28 01:55:00
T00370,C640,China,5259.13,ATM,67,2025-04-10 08:07:00
T00371,C757,China,8612.97,Online,54,2025-11-27 07:19:00
T00372,C787,USA,7044.7,ATM,71,2025-06-20 10:44:00
T00373,C521,China,7469.81,ATM,6,2025-01-25 19:54:00
T00374,C462,Germany,3724.32,POS,78,2025-09-28 04:06:00
T00375,C848,Germany,676.62,Card,41,2025-02-18 21:43:00
T00376,C482,China,7479.96,Online,28,2025-11-10 01:55:00
T00377,C477,China,8612.87,Card,17,2025-09-05 15:52:00
T00378,C813,China,2885.69,Transfer,56,2025-12-01 13:00:00
T00379,C751,Turkey,5979.2,Online,16,2025-02-23 03:00:00
T00380,C660,Morocco,5152.45,Online,42,2025-07-12 05:14:00
T00381,C731,UAE,7139.9,POS,65,2025-05-31 21:04:00
T00382,C637,UK,6898.05,Transfer,41,2025-09-26 07:05:00
T00383,C400,Morocco,3357.3,Transfer,34,2025-08-17 03:28:00
T00384,C515,Canada,2106.92,ATM,16,2025-10-30 09:34:00
T00385,C468,USA,9901.36,Online,75,2025-01-16 11:00:00
T00386,C105,UK,934.14,Online,32,2025-09-04 06:32:00
T00387,C857,Morocco,7470.02,ATM,52,2025-12-20 05:58:00
T00388,C413,China,4202.41,Online,58,2025-10-07 22:08:00
T00389,C644,Morocco,4458.79,POS,61,2025-07-02 13:54:00
T00390,C276,France,8876.93,Transfer,73,2025-09-21 03:55:00
T00391,C882,Turkey,6503.84,POS,27,2025-02-25 05:56:00
T00392,C584,Germany,734.01,Transfer,73,2025-09-19 17:38:00
T00393,C668,Canada,2084.55,Transfer,23,2025-02-19 03:12:00
T00394,C831,UAE,34527.75,Online,80,2025-03-05 05:55:00
T00395,C467,USA,5332.7,Online,21,2025-07-13 10:02:00
T00396,C493,Spain,6889.77,ATM,50,2025-07-04 17:39:00
T00397,C695,Germany,874.43,Card,55,2025-09-07 17:48:00
T00398,C336,Spain,8383.37,POS,7,2025-07-10 05:49:00
T00399,C665,UAE,340.45,Transfer,50,2025-12-29 05:07:00
T00400,C887,France,7992.24,Transfer,12,2025-10-02 09:57:00
T00401,C361,UK,7201.63,Card,65,2025-12-19 22:49:00
T00402,C123,USA,9595.19,Transfer,77,2025-02-22 05:41:00
T00403,C651,Morocco,7895.99,Online,67,2025-06-04 23:34:00
T00404,C396,France,28462.34,Online,99,2025-01-30 22:21:00
T00405,C577,France,459.64,POS,22,2025-10-19 13:42:00
T00406,C402,Canada,4740.63,ATM,9,2025-07-09 22:16:00
T00407,C891,France,4179.84,Transfer,45,2025-02-10 15:16:00
T00408,C262,UK,7041.46,Card,26,2025-02-25 09:35:00
